2026-03-23 20:42:26,177 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=1500 (games=250 teams=500 players=5530)
2026-03-23 20:42:28,826 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=1750 (games=250 teams=500 players=5372)
2026-03-23 20:42:31,291 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=2000 (games=250 teams=500 players=4871)
2026-03-23 20:42:33,659 | INFO | nba_pipeline.parse_boxscore | Upserting batch processed=2250 (games=250 teams=500 players=5429)
2026-03-23 20:42:35,626 | INFO | nba_pipeline.parse_boxscore | Final upsert processed=2276 (games=26 teams=52 players=552)
2026-03-23 20:42:35,813 | INFO | nba_pipeline.parse_boxscore | Done. Boxscores processed=2276
2026-03-23 20:42:44,382 | INFO | nba_pipeline.parse_pbp | Done pbp: games=0 rows=0
2026-03-23 20:42:49,004 | INFO | nba_pipeline.parse_referees | Upserting batch processed=500 refs_in_batch=1492
2026-03-23 20:42:49,658 | INFO | nba_pipeline.parse_referees | Upserting batch processed=1000 refs_in_batch=1497
2026-03-23 20:42:50,246 | INFO | nba_pipeline.parse_referees | Upserting batch processed=1500 refs_in_batch=1500
2026-03-23 20:42:50,830 | INFO | nba_pipeline.parse_referees | Upserting batch processed=2000 refs_in_batch=1429
2026-03-23 20:42:51,189 | INFO | nba_pipeline.parse_referees | Final upsert processed=2276 refs_in_batch=825
2026-03-23 20:42:51,236 | INFO | nba_pipeline.parse_referees | Done. Games processed=2276, referee rows=6759
2026-03-23 20:42:53,975 | INFO | nba_pipeline.parse_oddsapi | Upserted 516 rows into odds.nba_game_lines
2026-03-23 20:42:56,053 | INFO | nba_pipeline.parse_oddsapi | Incremental historical game odds: since 2026-03-23
2026-03-23 20:42:56,100 | WARNING | nba_pipeline.parse_oddsapi | No nba_odds_historical snapshots found (as_of_date=None).
2026-03-23 20:42:58,323 | INFO | nba_pipeline.parse_oddsapi | Incremental prop odds: since 2026-03-22
2026-03-23 20:42:58,729 | INFO | nba_pipeline.parse_oddsapi | Upserted 881 rows into odds.nba_player_prop_lines
2026-03-23 20:43:00,850 | INFO | nba_pipeline.parse_oddsapi | Incremental alt prop odds: since 2026-03-22
2026-03-23 20:43:01,745 | INFO | nba_pipeline.parse_oddsapi | Upserted 7913 rows into odds.nba_player_prop_alt_lines
2026-03-23 20:43:03,959 | INFO | nba_pipeline.parse_all | Applied team_form_features w20 update
2026-03-23 20:43:03,975 | INFO | nba_pipeline.parse_all | Applied team_pregame_rolling_boxscore w20 update
2026-03-23 20:43:04,006 | INFO | nba_pipeline.parse_all | Applied V006 team_style_profile w20 update
2026-03-23 20:43:04,053 | INFO | nba_pipeline.parse_all | Applied V001 new_feature_views w20 + home/away splits update
2026-03-23 20:43:04,068 | INFO | nba_pipeline.parse_all | Applied V011 PBP 3PT rate fix
2026-03-23 20:43:04,084 | INFO | nba_pipeline.parse_all | Applied V016 opp_position_defense sparse-sample fix
2026-03-23 20:43:04,321 | INFO | nba_pipeline.parse_all | Applied V013 referee fan-out fix
2026-03-23 20:43:04,508 | INFO | nba_pipeline.parse_all | Applied V014 game_views w20 update
2026-03-23 20:43:04,524 | INFO | nba_pipeline.parse_all | Applied V023 player_shot_profile (PBP shot quality features)
2026-03-23 20:43:04,540 | INFO | nba_pipeline.parse_all | Applied V024 opponent_shot_defense (PBP opponent defensive shot profile)
2026-03-23 20:43:44,510 | INFO | nba_pipeline.parse_all | Materialized features.player_shot_profile_snap
2026-03-23 20:51:31,274 | INFO | nba_pipeline.parse_all | Materialized features.opponent_shot_defense_snap
2026-03-23 20:51:31,415 | INFO | nba_pipeline.parse_all | Applied V025 player_on_off_splits (game-level on/off net rating)
2026-03-23 20:51:33,573 | INFO | nba_pipeline.parse_all | Materialized features.player_on_off_snap
2026-03-23 20:51:33,753 | INFO | nba_pipeline.parse_all | Recreated player_training_features from V022
2026-03-23 20:51:35,991 | INFO | nba_pipeline.parse_all | Refreshing features.game_training_features_mat ...
2026-03-23 20:59:12,543 | INFO | nba_pipeline.parse_all |   Done refreshing features.game_training_features_mat
2026-03-23 20:59:12,939 | INFO | nba_pipeline.parse_all | Refreshing features.game_prediction_features_mat ...
2026-03-23 21:06:02,428 | INFO | nba_pipeline.parse_all |   Done refreshing features.game_prediction_features_mat
2026-03-23 21:19:29,359 | INFO | nba_pipeline.parse_all | Prop line name-match coverage: 31124/42093 rows (73.9%)
2026-03-23 21:19:29,406 | INFO | nba_pipeline.parse_all | ALL PARSERS COMPLETE
